"","species","MDS1","MDS2","MDS3"
"69","spirontocaris_liljeborgii",0.33771912670738,0.0584738661761517,-0.165895259398985
"70","squalus_acanthias",-0.0696869999949724,0.13104612459249,0.102672440838524
"71","stenotomus_chrysops",0.0267997749106785,-0.176605023228759,0.117255259486479
"72","stoloteuthis_leucoptera",0.385811641639964,-0.168551301136687,0.0459093691390867
"73","tautogolabrus_adspersus",0.152898221471357,-0.0241067510077636,0.175882342742338
"74","triglops_murrayi",0.0441818969034298,-0.232325230020963,0.0273550898475027
"75","sum_alosa",0.0393242699691399,-0.103452360643562,0.0620752367836643
"76","sum_ammodytes",-0.0983425686898471,0.192823225961252,-0.147285531963472
"77","sum_argentina",-0.14901685259381,0.133155391604112,-0.0588584659687051
"78","sum_cancer",-0.132164310901905,0.0147836537101591,0.106199050287662
