"sub_sp","inter_sp","lag","correlation","site"
"Urophycis_tenuis","Amphipoda",-9,0.360356368946743,"zi_NE"
"Urophycis_tenuis","Amphipoda",-8,0.370579000650245,"zi_NE"
"Urophycis_tenuis","Amphipoda",-7,0.379822978255067,"zi_NE"
"Urophycis_tenuis","Amphipoda",-6,0.387986925230394,"zi_NE"
"Urophycis_tenuis","Amphipoda",-5,0.394964064466336,"zi_NE"
"Urophycis_tenuis","Amphipoda",-4,0.400685447825348,"zi_NE"
"Urophycis_tenuis","Amphipoda",-3,0.40505544525142,"zi_NE"
"Urophycis_tenuis","Amphipoda",-2,0.408011155228104,"zi_NE"
"Urophycis_tenuis","Amphipoda",-1,0.409480806535337,"zi_NE"
"Urophycis_tenuis","Amphipoda",0,0.409401800072708,"zi_NE"
"Urophycis_tenuis","Amphipoda",1,0.369110302404158,"zi_NE"
"Urophycis_tenuis","Amphipoda",2,0.330850777628732,"zi_NE"
"Urophycis_tenuis","Amphipoda",3,0.295020858510045,"zi_NE"
"Urophycis_tenuis","Amphipoda",4,0.261503978311155,"zi_NE"
"Urophycis_tenuis","Amphipoda",5,0.230517519618892,"zi_NE"
"Urophycis_tenuis","Amphipoda",6,0.201240265211543,"zi_NE"
"Urophycis_tenuis","Amphipoda",7,0.175029869704889,"zi_NE"
"Urophycis_tenuis","Amphipoda",8,0.150817954852557,"zi_NE"
"Urophycis_tenuis","Amphipoda",9,0.128264886251656,"zi_NE"
"Urophycis_tenuis","Amphipoda",10,0.107776778213568,"zi_NE"
"Urophycis_tenuis","Amphipoda",11,0.0881425163187018,"zi_NE"
"Urophycis_tenuis","Amphipoda",12,0.0693528006950759,"zi_NE"
"Urophycis_tenuis","Amphipoda",13,0.0508250437747483,"zi_NE"
"Urophycis_tenuis","Amphipoda",14,0.0325236768178325,"zi_NE"
"Urophycis_tenuis","Amphipoda",15,0.0134073260610957,"zi_NE"
"Urophycis_tenuis","Amphipoda",16,-0.00580668298574421,"zi_NE"
"Urophycis_tenuis","Amphipoda",-16,0.11665172045696,"zi_BC"
"Urophycis_tenuis","Amphipoda",-15,0.145209002582365,"zi_BC"
"Urophycis_tenuis","Amphipoda",-14,0.17533292051223,"zi_BC"
"Urophycis_tenuis","Amphipoda",-13,0.206699217243061,"zi_BC"
"Urophycis_tenuis","Amphipoda",-12,0.239272909649586,"zi_BC"
"Urophycis_tenuis","Amphipoda",-11,0.273433441511004,"zi_BC"
"Urophycis_tenuis","Amphipoda",-10,0.308068745950179,"zi_BC"
"Urophycis_tenuis","Amphipoda",-9,0.34303326389245,"zi_BC"
"Urophycis_tenuis","Amphipoda",-8,0.378598146543252,"zi_BC"
"Urophycis_tenuis","Amphipoda",-7,0.414133357442581,"zi_BC"
"Urophycis_tenuis","Amphipoda",-6,0.449390725503119,"zi_BC"
"Urophycis_tenuis","Amphipoda",-5,0.484381452447163,"zi_BC"
"Urophycis_tenuis","Amphipoda",-4,0.518847771228493,"zi_BC"
"Urophycis_tenuis","Amphipoda",-3,0.552409984164992,"zi_BC"
"Urophycis_tenuis","Amphipoda",-2,0.585164531802586,"zi_BC"
"Urophycis_tenuis","Amphipoda",-1,0.616827929009276,"zi_BC"
"Urophycis_tenuis","Amphipoda",0,0.647309872378718,"zi_BC"
"Urophycis_tenuis","Amphipoda",1,0.602103598945492,"zi_BC"
"Urophycis_tenuis","Amphipoda",2,0.558250831822,"zi_BC"
"Urophycis_tenuis","Amphipoda",3,0.515506398122874,"zi_BC"
"Urophycis_tenuis","Amphipoda",4,0.473839708711271,"zi_BC"
"Urophycis_tenuis","Amphipoda",5,0.433624409176676,"zi_BC"
"Urophycis_tenuis","Amphipoda",6,0.395084843450663,"zi_BC"
"Urophycis_tenuis","Amphipoda",7,0.357999337967355,"zi_BC"
"Urophycis_tenuis","Amphipoda",8,0.322580608923044,"zi_BC"
"Urophycis_tenuis","Amphipoda",9,0.288567738109078,"zi_BC"
"Urophycis_tenuis","Amphipoda",10,0.256879289897513,"zi_BC"
"Urophycis_tenuis","Amphipoda",11,0.227211310705383,"zi_BC"
"Urophycis_tenuis","Amphipoda",12,0.199268021291663,"zi_BC"
"Urophycis_tenuis","Amphipoda",13,0.173050589396745,"zi_BC"
"Urophycis_tenuis","Amphipoda",14,0.148268660897101,"zi_BC"
"Urophycis_tenuis","Amphipoda",15,0.125564324501472,"zi_BC"
"Urophycis_tenuis","Amphipoda",16,0.104518289991913,"zi_BC"
"Urophycis_tenuis","Amphipoda",-16,-0.193862299878012,"SW"
"Urophycis_tenuis","Amphipoda",-15,-0.205055729856416,"SW"
"Urophycis_tenuis","Amphipoda",-14,-0.21712947177425,"SW"
"Urophycis_tenuis","Amphipoda",-13,-0.229788814411296,"SW"
"Urophycis_tenuis","Amphipoda",-12,-0.242767223543524,"SW"
"Urophycis_tenuis","Amphipoda",-11,-0.255813949282265,"SW"
"Urophycis_tenuis","Amphipoda",-10,-0.268525880855463,"SW"
"Urophycis_tenuis","Amphipoda",-9,-0.280503271161549,"SW"
"Urophycis_tenuis","Amphipoda",-8,-0.291433593252629,"SW"
"Urophycis_tenuis","Amphipoda",-7,-0.301010539744035,"SW"
"Urophycis_tenuis","Amphipoda",-6,-0.30903404556926,"SW"
"Urophycis_tenuis","Amphipoda",-5,-0.315205545065816,"SW"
"Urophycis_tenuis","Amphipoda",-4,-0.319395665796735,"SW"
"Urophycis_tenuis","Amphipoda",-3,-0.321455440786752,"SW"
"Urophycis_tenuis","Amphipoda",-2,-0.321422618768857,"SW"
"Urophycis_tenuis","Amphipoda",-1,-0.319259094541718,"SW"
"Urophycis_tenuis","Amphipoda",0,-0.315025969496844,"SW"
"Urophycis_tenuis","Amphipoda",1,-0.28512522714901,"SW"
"Urophycis_tenuis","Amphipoda",2,-0.256585633290244,"SW"
"Urophycis_tenuis","Amphipoda",3,-0.229908786613449,"SW"
"Urophycis_tenuis","Amphipoda",4,-0.204588027968161,"SW"
"Urophycis_tenuis","Amphipoda",5,-0.181213172736766,"SW"
"Urophycis_tenuis","Amphipoda",6,-0.159377644959246,"SW"
"Urophycis_tenuis","Amphipoda",7,-0.138502979411421,"SW"
"Urophycis_tenuis","Amphipoda",8,-0.118883715472475,"SW"
"Urophycis_tenuis","Amphipoda",9,-0.10011568323879,"SW"
"Urophycis_tenuis","Amphipoda",10,-0.0817489488903031,"SW"
"Urophycis_tenuis","Amphipoda",11,-0.0641149256189642,"SW"
"Urophycis_tenuis","Amphipoda",12,-0.0462317623957642,"SW"
"Urophycis_tenuis","Amphipoda",13,-0.0276823990173834,"SW"
"Urophycis_tenuis","Amphipoda",14,-0.00864188930852685,"SW"
"Urophycis_tenuis","Amphipoda",15,0.0110808686912521,"SW"
"Urophycis_tenuis","Amphipoda",16,0.032041249424823,"SW"
"Urophycis_tenuis","Amphipoda",-16,-0.476349686069542,"SE"
"Urophycis_tenuis","Amphipoda",-15,-0.483059883142969,"SE"
"Urophycis_tenuis","Amphipoda",-14,-0.485630309420224,"SE"
"Urophycis_tenuis","Amphipoda",-13,-0.484082440505163,"SE"
"Urophycis_tenuis","Amphipoda",-12,-0.478177504325,"SE"
"Urophycis_tenuis","Amphipoda",-11,-0.468147083659424,"SE"
"Urophycis_tenuis","Amphipoda",-10,-0.453886139125047,"SE"
"Urophycis_tenuis","Amphipoda",-9,-0.435632384134162,"SE"
"Urophycis_tenuis","Amphipoda",-8,-0.413943870757335,"SE"
"Urophycis_tenuis","Amphipoda",-7,-0.389040840761829,"SE"
"Urophycis_tenuis","Amphipoda",-6,-0.361220946728105,"SE"
"Urophycis_tenuis","Amphipoda",-5,-0.331052456266452,"SE"
"Urophycis_tenuis","Amphipoda",-4,-0.298372058420326,"SE"
"Urophycis_tenuis","Amphipoda",-3,-0.263542825785989,"SE"
"Urophycis_tenuis","Amphipoda",-2,-0.2267271969778,"SE"
"Urophycis_tenuis","Amphipoda",-1,-0.187807938964093,"SE"
"Urophycis_tenuis","Amphipoda",0,-0.146902078146139,"SE"
"Urophycis_tenuis","Amphipoda",1,-0.125768307853396,"SE"
"Urophycis_tenuis","Amphipoda",2,-0.100886442248957,"SE"
"Urophycis_tenuis","Amphipoda",3,-0.0720471412070864,"SE"
"Urophycis_tenuis","Amphipoda",4,-0.0391869525768007,"SE"
"Urophycis_tenuis","Amphipoda",5,-0.00247111586688863,"SE"
"Urophycis_tenuis","Amphipoda",6,0.0376998342026495,"SE"
"Urophycis_tenuis","Amphipoda",7,0.0806914313269402,"SE"
"Urophycis_tenuis","Amphipoda",8,0.125688807214287,"SE"
"Urophycis_tenuis","Amphipoda",9,0.171728784638828,"SE"
"Urophycis_tenuis","Amphipoda",10,0.217742851973134,"SE"
"Urophycis_tenuis","Amphipoda",11,0.262647839725461,"SE"
"Urophycis_tenuis","Amphipoda",12,0.30539592039005,"SE"
"Urophycis_tenuis","Amphipoda",13,0.345033338337887,"SE"
"Urophycis_tenuis","Amphipoda",14,0.380755849255579,"SE"
"Urophycis_tenuis","Amphipoda",15,0.412003647886131,"SE"
"Urophycis_tenuis","Amphipoda",16,0.438388574093598,"SE"
"Urophycis_tenuis","Amphipoda",-16,0.0176116082131138,"NW"
"Urophycis_tenuis","Amphipoda",-15,0.057339279907343,"NW"
"Urophycis_tenuis","Amphipoda",-14,0.0954516085726047,"NW"
"Urophycis_tenuis","Amphipoda",-13,0.131402736879595,"NW"
"Urophycis_tenuis","Amphipoda",-12,0.164796349663761,"NW"
"Urophycis_tenuis","Amphipoda",-11,0.195532425868323,"NW"
"Urophycis_tenuis","Amphipoda",-10,0.223540011468655,"NW"
"Urophycis_tenuis","Amphipoda",-9,0.249047527170766,"NW"
"Urophycis_tenuis","Amphipoda",-8,0.2722605979251,"NW"
"Urophycis_tenuis","Amphipoda",-7,0.29330344127286,"NW"
"Urophycis_tenuis","Amphipoda",-6,0.312623775535738,"NW"
"Urophycis_tenuis","Amphipoda",-5,0.330482346876375,"NW"
"Urophycis_tenuis","Amphipoda",-4,0.347014643826335,"NW"
"Urophycis_tenuis","Amphipoda",-3,0.362485692876588,"NW"
"Urophycis_tenuis","Amphipoda",-2,0.377017614510022,"NW"
"Urophycis_tenuis","Amphipoda",-1,0.390487220335506,"NW"
"Urophycis_tenuis","Amphipoda",0,0.402901262300286,"NW"
"Urophycis_tenuis","Amphipoda",1,0.420454863406631,"NW"
"Urophycis_tenuis","Amphipoda",2,0.430376925158831,"NW"
"Urophycis_tenuis","Amphipoda",3,0.432027688527889,"NW"
"Urophycis_tenuis","Amphipoda",4,0.425287506150371,"NW"
"Urophycis_tenuis","Amphipoda",5,0.410425466572189,"NW"
"Urophycis_tenuis","Amphipoda",6,0.387895840965097,"NW"
"Urophycis_tenuis","Amphipoda",7,0.35902034135317,"NW"
"Urophycis_tenuis","Amphipoda",8,0.325282241713983,"NW"
"Urophycis_tenuis","Amphipoda",9,0.28855977567873,"NW"
"Urophycis_tenuis","Amphipoda",10,0.250577288633321,"NW"
"Urophycis_tenuis","Amphipoda",11,0.213313149382644,"NW"
"Urophycis_tenuis","Amphipoda",12,0.178955145357807,"NW"
"Urophycis_tenuis","Amphipoda",13,0.149338583554723,"NW"
"Urophycis_tenuis","Amphipoda",14,0.125736925576304,"NW"
"Urophycis_tenuis","Amphipoda",15,0.109288029210255,"NW"
"Urophycis_tenuis","Amphipoda",16,0.100602635160624,"NW"
"Urophycis_tenuis","Amphipoda",-16,-0.292089077845117,"NE"
"Urophycis_tenuis","Amphipoda",-15,-0.290790968026293,"NE"
"Urophycis_tenuis","Amphipoda",-14,-0.28530073803157,"NE"
"Urophycis_tenuis","Amphipoda",-13,-0.275564223675168,"NE"
"Urophycis_tenuis","Amphipoda",-12,-0.261901538575071,"NE"
"Urophycis_tenuis","Amphipoda",-11,-0.244701283623836,"NE"
"Urophycis_tenuis","Amphipoda",-10,-0.224592085692219,"NE"
"Urophycis_tenuis","Amphipoda",-9,-0.202275270303532,"NE"
"Urophycis_tenuis","Amphipoda",-8,-0.178528879073401,"NE"
"Urophycis_tenuis","Amphipoda",-7,-0.154060976736451,"NE"
"Urophycis_tenuis","Amphipoda",-6,-0.129639741275911,"NE"
"Urophycis_tenuis","Amphipoda",-5,-0.105709368893455,"NE"
"Urophycis_tenuis","Amphipoda",-4,-0.082638916914199,"NE"
"Urophycis_tenuis","Amphipoda",-3,-0.0607975507028462,"NE"
"Urophycis_tenuis","Amphipoda",-2,-0.0399718387355213,"NE"
"Urophycis_tenuis","Amphipoda",-1,-0.0201203891583911,"NE"
"Urophycis_tenuis","Amphipoda",0,-0.000923585641491158,"NE"
"Urophycis_tenuis","Amphipoda",1,0.0359727643358744,"NE"
"Urophycis_tenuis","Amphipoda",2,0.0721513340766002,"NE"
"Urophycis_tenuis","Amphipoda",3,0.107625376821413,"NE"
"Urophycis_tenuis","Amphipoda",4,0.142667255860311,"NE"
"Urophycis_tenuis","Amphipoda",5,0.176827243162808,"NE"
"Urophycis_tenuis","Amphipoda",6,0.210016118939466,"NE"
"Urophycis_tenuis","Amphipoda",7,0.24176209466644,"NE"
