"target","interaction_type","source"
"Littorina","eats","Fucus"
"Littorina","eats","Polysiphonia"
"Littorina","eats","Cyanobacteria"
"Littorina","eats","Verrucaria"
"Littorina","eats","Mastocarpus stellatus"
"Littorina","eats","Ceramium virgatum"
"Littorina","eats","Ulva lactuca"
"Littorina","eats","Hildenbrandia rubra"
"Littorina","eats","Alaria esculenta"
"Littorina","eats","Ascophyllum nodosum"
"Zostera marina","eats","Amphipoda"
"Balanus balanus","eats","Nucella lapillus"
"Balanus crenatus","eats","Carcinus maenas"
"Balanus crenatus","eats","Nucella lapillus"
"Panopeus herbstii","eats","Carcinus maenas"
"Pseudopleuronectes americanus","eats","Carcinus maenas"
"Zostera marina","eats","Carcinus maenas"
"Ulva lactuca","eats","Littorina"
"Zostera marina","eats","Littorina"
"Chaetomorpha linum","eats","Littorina"
